APURÍMAC|PARTIDO DEMÓCRATA UNIDO PERÚ	8733
APURÍMAC|PARTIDO DEMÓCRATA VERDE	949
APURÍMAC|PARTIDO FRENTE DE LA ESPERANZA 2021	2558
APURÍMAC|PARTIDO MORADO	647
APURÍMAC|PARTIDO PATRIÓTICO DEL PERÚ	2057
APURÍMAC|PARTIDO PAÍS PARA TODOS	2915
APURÍMAC|PARTIDO POLÍTICO COOPERACIÓN POPULAR	1398
APURÍMAC|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	318
APURÍMAC|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	1885
APURÍMAC|PARTIDO POLÍTICO PERÚ ACCIÓN	424
APURÍMAC|PARTIDO POLÍTICO PERÚ PRIMERO	974
APURÍMAC|PARTIDO POLÍTICO PRIN	176
APURÍMAC|PARTIDO SICREO	3391
APURÍMAC|PERÚ MODERNO	50
APURÍMAC|PODEMOS PERÚ	3105
APURÍMAC|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	2227
APURÍMAC|PROGRESEMOS	1891
APURÍMAC|RENOVACIÓN POPULAR	6329
APURÍMAC|SALVEMOS AL PERÚ	585
APURÍMAC|UN CAMINO DIFERENTE	227
APURÍMAC|UNIDAD NACIONAL	184
APURÍMAC|VOTOS EN BLANCO	39618
APURÍMAC|VOTOS NULOS	14476
AREQUIPA|AHORA NACIÓN - AN	81964
AREQUIPA|ALIANZA ELECTORAL VENCEREMOS	8530
AREQUIPA|ALIANZA PARA EL PROGRESO	3701
AREQUIPA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	965
AREQUIPA|FE EN EL PERÚ	1181
AREQUIPA|FUERZA POPULAR	64430
AREQUIPA|FUERZA Y LIBERTAD	1483
AREQUIPA|JUNTOS POR EL PERÚ	88766
AREQUIPA|LIBERTAD POPULAR	1614
AREQUIPA|PARTIDO APRISTA PERUANO	4966
AREQUIPA|PARTIDO CÍVICO OBRAS	96079
AREQUIPA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	642
AREQUIPA|PARTIDO DEL BUEN GOBIERNO	164086
AREQUIPA|PARTIDO DEMOCRATICO FEDERAL	1643
AREQUIPA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	3630
AREQUIPA|PARTIDO DEMÓCRATA UNIDO PERÚ	7971
AREQUIPA|PARTIDO DEMÓCRATA VERDE	2882
AREQUIPA|PARTIDO FRENTE DE LA ESPERANZA 2021	28819
AREQUIPA|PARTIDO MORADO	5145
AREQUIPA|PARTIDO PATRIÓTICO DEL PERÚ	7793
AREQUIPA|PARTIDO PAÍS PARA TODOS	73301
AREQUIPA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	20247
AREQUIPA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	3198
AREQUIPA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	5247
AREQUIPA|PARTIDO POLÍTICO PERÚ ACCIÓN	1719
AREQUIPA|PARTIDO POLÍTICO PERÚ PRIMERO	7153
AREQUIPA|PARTIDO POLÍTICO PRIN	582
AREQUIPA|PARTIDO SICREO	40793
AREQUIPA|PERÚ MODERNO	655
AREQUIPA|PODEMOS PERÚ	8659
AREQUIPA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	40242
AREQUIPA|PROGRESEMOS	3492
AREQUIPA|RENOVACIÓN POPULAR	93233
AREQUIPA|SALVEMOS AL PERÚ	846
AREQUIPA|UN CAMINO DIFERENTE	1775
AREQUIPA|UNIDAD NACIONAL	2775
AREQUIPA|VOTOS EN BLANCO	75007
AREQUIPA|VOTOS NULOS	38934
ASIA|AHORA NACIÓN - AN	257
ASIA|ALIANZA ELECTORAL VENCEREMOS	23
ASIA|ALIANZA PARA EL PROGRESO	6
ASIA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	12
ASIA|FE EN EL PERÚ	1
ASIA|FUERZA POPULAR	2930
ASIA|FUERZA Y LIBERTAD	8
ASIA|JUNTOS POR EL PERÚ	43
ASIA|LIBERTAD POPULAR	16
ASIA|PARTIDO APRISTA PERUANO	73
ASIA|PARTIDO CÍVICO OBRAS	242
ASIA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	5
ASIA|PARTIDO DEL BUEN GOBIERNO	359
ASIA|PARTIDO DEMOCRATICO FEDERAL	6
ASIA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	27
ASIA|PARTIDO DEMÓCRATA UNIDO PERÚ	23
ASIA|PARTIDO DEMÓCRATA VERDE	6
ASIA|PARTIDO FRENTE DE LA ESPERANZA 2021	41
ASIA|PARTIDO MORADO	18
ASIA|PARTIDO PATRIÓTICO DEL PERÚ	12
ASIA|PARTIDO PAÍS PARA TODOS	434
ASIA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	14
ASIA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	17
ASIA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	9
ASIA|PARTIDO POLÍTICO PERÚ ACCIÓN	3
ASIA|PARTIDO POLÍTICO PERÚ PRIMERO	3
ASIA|PARTIDO POLÍTICO PRIN	2
ASIA|PARTIDO SICREO	76
ASIA|PERÚ MODERNO	1
ASIA|PODEMOS PERÚ	8
ASIA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	193
ASIA|PROGRESEMOS	8
ASIA|RENOVACIÓN POPULAR	3016
ASIA|SALVEMOS AL PERÚ	2
ASIA|UN CAMINO DIFERENTE	22
ASIA|UNIDAD NACIONAL	82
ASIA|VOTOS EN BLANCO	1433
ASIA|VOTOS NULOS	489
AYACUCHO|AHORA NACIÓN - AN	40833
AYACUCHO|ALIANZA ELECTORAL VENCEREMOS	3699
AYACUCHO|ALIANZA PARA EL PROGRESO	2035
AYACUCHO|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	186
AYACUCHO|FE EN EL PERÚ	543
AYACUCHO|FUERZA POPULAR	22903
AYACUCHO|FUERZA Y LIBERTAD	424
AYACUCHO|JUNTOS POR EL PERÚ	88549
AYACUCHO|LIBERTAD POPULAR	1728
AYACUCHO|PARTIDO APRISTA PERUANO	990
AYACUCHO|PARTIDO CÍVICO OBRAS	40871
AYACUCHO|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	228
AYACUCHO|PARTIDO DEL BUEN GOBIERNO	15662
AYACUCHO|PARTIDO DEMOCRATICO FEDERAL	451
AYACUCHO|PARTIDO DEMOCRÁTICO SOMOS PERÚ	1560
AYACUCHO|PARTIDO DEMÓCRATA UNIDO PERÚ	4715
AYACUCHO|PARTIDO DEMÓCRATA VERDE	1633
